"# RIGOL TECHNOLOGIES,DS1054Z,DS1ZA171912949,00.04.03"
# I_mA = (ch1 - ch2) / 130 ohm
t_s,ch1_V,ch2_V,I_mA
0.0,2.4732,1.7559,5.517
10.0,2.4786,1.7771,5.397
20.0,2.4936,1.7851,5.451
30.0,2.5169,1.8038,5.485
40.0,2.5202,1.8189,5.395
50.1,2.5402,1.8316,5.450
60.1,2.5578,1.8531,5.421
70.1,2.5616,1.8595,5.401
80.1,2.5793,1.8752,5.416
90.1,2.5974,1.8944,5.408
100.1,2.6014,1.8998,5.397
110.1,2.6189,1.9161,5.406
120.1,2.6347,1.9240,5.467
130.1,2.6424,1.9401,5.403
140.1,2.6599,1.9573,5.404
150.1,2.6756,1.9672,5.449
160.1,2.6828,1.9806,5.401
170.1,2.6983,1.9992,5.378
180.2,2.7139,2.0123,5.397
190.2,2.7223,2.0209,5.395
200.2,2.7366,2.0401,5.358
210.2,2.7564,2.0530,5.411
220.2,2.7636,2.0613,5.403
230.2,2.7809,2.0829,5.369
240.2,2.8001,2.0945,5.428
250.2,2.8044,2.1026,5.399
260.2,2.8265,2.1227,5.414
270.2,2.8653,2.1355,5.613
280.3,2.8593,2.1428,5.512
290.3,2.8796,2.1647,5.499
300.3,2.9114,2.1755,5.661
310.3,2.9170,2.1829,5.647
320.3,2.9276,2.2054,5.555
330.3,2.9507,2.2181,5.635
340.3,2.9583,2.2336,5.574
350.3,2.9631,2.2563,5.437
360.3,2.9827,2.2649,5.521
370.3,2.9973,2.2830,5.494
380.4,3.0037,2.3115,5.325
390.4,3.0208,2.3199,5.391
400.4,3.0365,2.3384,5.370
410.4,3.0421,2.3462,5.354
420.4,3.0502,2.3574,5.329
430.4,3.0755,2.3783,5.364
440.4,3.0813,2.3860,5.348
450.4,3.0862,2.3990,5.287
460.4,3.1133,2.4182,5.347
470.4,3.1214,2.4212,5.386
480.4,3.1243,2.4371,5.286
490.4,3.1448,2.4579,5.283
500.4,3.1553,2.4595,5.352
510.4,3.1627,2.4757,5.285
520.5,3.1805,2.4967,5.260
530.5,3.1962,2.4996,5.359
540.5,3.2027,2.5104,5.325
550.5,3.2120,2.5296,5.249
560.5,3.2290,2.5395,5.304
570.5,3.2412,2.5448,5.356
580.5,3.2477,2.5660,5.244
590.5,3.2639,2.5777,5.279
600.5,3.2842,2.5823,5.400
610.5,3.2873,2.6015,5.275
620.5,3.2966,2.6116,5.269
630.6,3.3687,2.6210,5.751
640.6,3.3081,2.6357,5.173
650.6,3.3415,2.6456,5.353
660.6,3.3551,2.6603,5.345
670.6,3.3555,2.6697,5.275
680.6,3.3723,2.6805,5.322
690.6,3.3945,2.6977,5.361
700.6,3.3989,2.7016,5.364
710.6,3.4034,2.7159,5.289
720.6,3.4325,2.7300,5.404
