"# RIGOL TECHNOLOGIES,DS1054Z,DS1ZA171912949,00.04.03"
# I_mA = (ch1 - ch2) / 130 ohm
t_s,ch1_V,ch2_V,I_mA
0.0,3.4414,2.7794,5.092
10.0,3.4448,2.7820,5.099
20.0,3.4558,2.8009,5.038
30.0,3.4842,2.8185,5.121
40.0,3.4834,2.8198,5.105
50.1,3.4875,2.8367,5.006
60.1,3.5332,2.8472,5.277
70.1,3.5517,2.8589,5.329
80.1,3.5540,2.8612,5.329
90.1,3.5625,2.8819,5.236
100.1,3.5839,2.8885,5.349
110.1,3.5963,2.9004,5.353
120.1,3.5928,2.9114,5.242
130.2,3.6090,2.9234,5.273
140.2,3.6333,2.9385,5.344
150.2,3.6388,2.9417,5.362
160.2,3.6394,2.9580,5.242
170.2,3.6625,2.9701,5.327
180.2,3.6772,2.9986,5.220
190.2,3.6801,3.0009,5.225
200.2,3.6882,3.0263,5.092
210.2,3.7037,3.0291,5.189
220.2,3.7175,3.0519,5.120
230.2,3.7220,3.0580,5.108
240.2,3.7318,3.0707,5.085
250.2,3.7551,3.0924,5.097
260.2,3.7607,3.0993,5.087
270.2,3.7631,3.1008,5.095
280.3,3.7791,3.1169,5.094
290.3,3.7973,3.1372,5.078
300.3,3.8002,3.1394,5.083
310.3,3.8045,3.1480,5.050
320.3,3.8275,3.1625,5.115
330.3,3.8375,3.1764,5.085
340.3,3.8408,3.1799,5.084
350.3,3.8455,3.1949,5.004
360.3,3.8591,3.2036,5.043
370.3,3.8798,3.2187,5.086
380.3,3.8822,3.2214,5.083
390.3,3.8838,3.2331,5.005
400.4,3.9002,3.2513,4.991
410.4,3.9213,3.2593,5.092
420.4,3.9218,3.2614,5.080
430.4,3.9257,3.2788,4.976
440.4,3.9321,3.2962,4.892
450.4,3.9639,3.2998,5.109
460.4,3.9827,3.3023,5.234
470.4,3.9745,3.3188,5.044
480.4,3.9713,3.3310,4.926
490.4,3.9853,3.3403,4.962
500.4,4.0302,3.3424,5.291
510.4,4.0329,3.3571,5.199
520.5,4.0366,3.3736,5.100
530.5,4.0316,3.3801,5.011
540.5,4.0439,3.3819,5.093
550.5,4.0710,3.4006,5.156
560.5,4.0739,3.4072,5.128
570.5,4.0780,3.4195,5.065
580.5,4.0786,3.4224,5.048
590.5,4.0770,3.4281,4.992
600.5,4.0972,3.4470,5.002
610.5,4.1113,3.4592,5.016
620.6,4.1159,3.4608,5.039
630.6,4.1179,3.4689,4.992
640.6,4.1203,3.4871,4.871
650.6,4.1177,3.4964,4.780
660.6,4.1320,3.5009,4.855
670.6,4.1524,3.5061,4.971
680.6,4.1554,3.5227,4.866
690.6,4.1583,3.5397,4.758
700.6,4.1623,3.5588,4.642
710.6,4.1613,3.5576,4.644
720.6,4.1684,3.5683,4.616
730.7,4.1858,3.5836,4.632
740.7,4.1939,3.5887,4.655
750.7,4.1975,3.6105,4.515
760.7,4.1989,3.6095,4.534
770.7,4.2025,3.6219,4.466
780.7,4.2017,3.6357,4.354
790.7,4.2122,3.6540,4.293
800.7,4.2212,3.6575,4.337
810.7,4.2345,3.6598,4.421
820.7,4.2365,3.6696,4.361
830.7,4.2379,3.6763,4.320
840.7,4.2418,3.6920,4.229
850.7,4.2427,3.6986,4.185
860.7,4.2418,3.6998,4.169
870.8,4.2495,3.7049,4.189
880.8,4.2602,3.7197,4.158
890.8,4.2671,3.7291,4.139
900.8,4.2758,3.7386,4.132
910.8,4.2762,3.7396,4.128
920.8,4.2790,3.7419,4.132
930.8,4.2825,3.7546,4.061
940.8,4.2833,3.7627,4.005
950.9,4.2818,3.7771,3.882
960.9,4.2877,3.7794,3.909
970.9,4.2919,3.7802,3.936
980.9,4.2995,3.7844,3.963
990.9,4.3118,3.7993,3.942
1000.9,4.3162,3.8047,3.935
1010.9,4.3175,3.8178,3.844
1021.0,4.3201,3.8202,3.845
1031.0,4.3207,3.8205,3.847
1041.0,4.3223,3.8266,3.813
1051.0,4.3243,3.8399,3.726
1061.0,4.3231,3.8482,3.653
1071.0,4.3271,3.8580,3.609
1081.0,4.3362,3.8607,3.658
1091.0,4.3407,3.8614,3.687
1101.0,4.3479,3.8669,3.699
1111.0,4.3580,3.8826,3.657
1121.0,4.3601,3.8834,3.667
1131.0,4.3593,3.8969,3.557
1141.0,4.3609,3.8997,3.548
1151.0,4.3626,3.9005,3.554
1161.1,4.3632,3.9028,3.541
1171.1,4.3641,3.9156,3.450
1181.1,4.3643,3.9207,3.412
1191.1,4.3638,3.9319,3.322
1201.1,4.3708,3.9389,3.323
1211.1,4.3760,3.9402,3.352
1221.1,4.3833,3.9408,3.404
1231.1,4.3911,3.9436,3.442
1241.1,4.3976,3.9574,3.386
1251.2,4.4037,3.9623,3.395
1261.2,4.4034,3.9655,3.369
1271.2,4.4028,3.9778,3.269
1281.2,4.4011,3.9793,3.244
1291.2,4.4020,3.9807,3.241
1301.2,4.4035,3.9828,3.236
1311.2,4.4050,3.9929,3.170
1321.2,4.4057,4.0000,3.120
1331.2,4.4059,4.0044,3.088
1341.2,4.4053,4.0138,3.012
1351.2,4.4067,4.0192,2.981
1361.2,4.4110,4.0201,3.007
1371.2,4.4194,4.0219,3.058
1381.2,4.4327,4.0216,3.162
1391.2,4.4514,4.0287,3.251
1401.2,4.4604,4.0420,3.218
1411.2,4.4669,4.0459,3.238
1421.2,4.4679,4.0545,3.180
1431.2,4.4672,4.0590,3.141
1441.3,4.4670,4.0609,3.124
1451.3,4.4664,4.0610,3.118
1461.3,4.4632,4.0618,3.088
1471.3,4.4627,4.0633,3.072
1481.3,4.4583,4.0758,2.942
1491.3,4.4574,4.0836,2.875
1501.3,4.4547,4.0864,2.833
1511.3,4.4523,4.0958,2.742
1521.3,4.4518,4.1068,2.654
1531.3,4.4559,4.1135,2.633
1541.3,4.4628,4.1184,2.649
1551.3,4.4753,4.1134,2.784
1561.4,4.4801,4.1171,2.792
1571.4,4.4893,4.1260,2.794
1581.4,4.4960,4.1335,2.788
1591.4,4.5063,4.1408,2.811
1601.4,4.5091,4.1397,2.842
1611.4,4.5100,4.1413,2.836
1621.4,4.5132,4.1556,2.751
1631.5,4.2262,4.1608,0.503
1641.5,4.1595,4.1439,0.120
1651.5,4.1605,4.1394,0.162
1661.5,4.1610,4.1370,0.184
1671.5,4.1611,4.1376,0.181
1681.5,4.1619,4.1394,0.174
1691.5,4.1605,4.1399,0.159
1701.5,4.1602,4.1403,0.153
1711.5,4.4668,4.1419,2.499
1721.5,4.4678,4.1559,2.399
1731.5,4.4663,4.1639,2.326
1741.6,4.4660,4.1686,2.287
1751.6,4.4651,4.1657,2.302
1761.6,4.4645,4.1646,2.307
1771.6,4.4625,4.1702,2.249
1781.6,4.4628,4.1770,2.198
1791.6,4.4603,4.1826,2.136
1801.6,4.4595,4.1923,2.055
1811.6,4.4571,4.1950,2.016
1821.6,4.4551,4.1956,1.996
1831.6,4.4548,4.1994,1.964
1841.6,4.4528,4.2063,1.896
1851.7,4.4516,4.2112,1.849
1861.7,4.4509,4.2180,1.792
1871.7,4.4532,4.2182,1.807
1881.7,4.4579,4.2189,1.838
1891.7,4.4659,4.2190,1.900
1901.7,4.4702,4.2199,1.925
1911.7,4.4730,4.2231,1.922
1921.7,4.4782,4.2238,1.957
1931.7,4.4832,4.2277,1.965
1941.7,4.4907,4.2346,1.970
1951.7,4.4982,4.2362,2.016
1961.7,4.5035,4.2373,2.048
1971.7,4.5086,4.2427,2.045
1981.7,4.5109,4.2511,1.998
1991.7,4.5127,4.2534,1.994
