"# RIGOL TECHNOLOGIES,DS1054Z,DS1ZA171912949,00.04.03"
t_s,vavg_V
0.0,2.2583
10.0,2.2600
20.0,2.2662
30.0,2.2975
40.0,2.3008
50.1,2.3041
60.1,2.3327
70.1,2.3531
80.1,2.3502
90.1,2.3705
100.1,2.3882
110.1,2.4030
120.1,2.4114
130.1,2.4345
140.2,2.4569
150.2,2.4594
160.2,2.4653
170.2,2.4949
180.2,2.4992
190.2,2.5010
200.2,2.5294
210.2,2.5383
220.2,2.5411
230.2,2.5567
240.2,2.5765
250.2,2.5795
260.2,0.7747
270.3,0.2615
280.3,0.0820
290.3,0.0456
300.3,0.0397
310.3,0.0371
320.3,0.0338
330.3,0.0379
340.3,0.0860
350.3,0.0769
360.3,0.0860
400.4,0.1361
410.4,0.1388
420.4,0.1767
430.5,0.1917
440.5,0.2168
450.5,0.2354
460.5,0.2593
470.5,0.2775
480.5,0.2993
490.5,0.3331
500.5,0.3409
560.6,0.3779
570.6,0.4002
610.6,0.4337
620.7,0.4447
630.7,0.4761
640.7,0.4940
650.7,0.5117
660.7,0.5503
670.7,0.5781
680.7,0.5898
690.7,0.6111
700.8,0.6367
710.8,0.6445
720.8,0.6742
730.8,0.6885
740.8,0.7113
750.8,0.7258
760.8,0.7436
770.8,0.7640
780.8,0.7905
790.8,0.7996
800.8,0.8205
810.8,0.8402
820.8,0.8494
830.9,0.8809
840.9,0.8908
850.9,0.9168
860.9,0.9322
870.9,0.9685
880.9,0.9764
890.9,0.9986
900.9,1.0255
911.0,1.0377
921.0,1.0696
931.0,1.0770
941.0,1.0999
951.0,1.1169
961.0,1.1254
971.0,1.1562
981.0,1.1667
991.0,1.1881
1001.0,1.2031
1011.0,1.2256
1021.1,1.2369
1031.1,1.2545
1041.1,1.2759
1051.1,1.2863
1061.1,1.3147
1071.1,1.3274
1541.4,1.9857
1551.4,1.9955
1561.5,1.9990
1571.5,2.0164
1581.5,1.9727
1591.5,1.9949
1601.5,1.9989
1611.5,2.0292
1621.5,2.0387
1631.5,0.1424
1641.5,0.0204
1651.5,0.0143
1661.5,0.0182
1671.5,0.0175
1681.5,0.0201
1691.5,0.0118
1701.5,0.0118
1711.5,0.0169
1721.5,0.0204
1731.5,0.0159
1741.6,0.0156
1751.6,0.0164
1761.6,0.0166
1771.6,0.0158
1781.6,0.0110
1791.6,0.0087
1801.6,0.0139
1811.6,0.3388
1821.7,1.5421
1831.7,1.5581
1841.7,1.5645
1851.7,1.5864
1861.7,1.5997
1871.7,1.6056
1881.7,1.6259
1891.7,1.6395
1901.7,1.6064
1911.7,1.6743
1921.7,1.2907
1931.7,1.2813
1941.7,1.3212
1951.7,0.8930
1961.7,1.1062
1971.7,1.1301
1981.7,1.1446
1991.7,1.1630
2001.8,1.1599
2011.8,1.1601
2021.8,1.1601
